Checking naming conventions...
Invalid naming convention: brand-guidelines.md
Invalid naming convention: README.md
Invalid naming convention: public-roadmap-and-changelog.md
Invalid naming convention: crisis-comms-incident-briefing-template.md
Invalid naming convention: messaging-and-positioning.md
Invalid naming convention: INCIDENT-RESPONSE-PLAN.md
Invalid naming convention: personas-and-use-cases.md
Invalid naming convention: vision-mission.md
Invalid naming convention: stakeholder-map.md
Invalid naming convention: business-model-overview.md
Invalid naming convention: success-metrics-north-star.md
Invalid naming convention: README.md
Invalid naming convention: core-values-ethics.md
Invalid naming convention: glossary-domain-concepts.md
Invalid naming convention: market-brief.md
Invalid naming convention: product-principles.md
Invalid naming convention: architecture.md
Invalid naming convention: INCIDENT-POSTMORTEM.md
Invalid naming convention: api.md
Invalid naming convention: ops-kpis-and-executive-reporting.md
Invalid naming convention: runbooks-index.md
Invalid naming convention: README.md
Invalid naming convention: capacity-and-demand-management.md
Invalid naming convention: dashboards-and-alerts.md
Invalid naming convention: on-call-and-incident-handbook.md
Invalid naming convention: deployment-runbook.md
Invalid naming convention: change-failure-rate-and-velocity-metrics.md
Invalid naming convention: slos-slas-and-sli-catalog.md
Invalid naming convention: CHANGELOG.md
Invalid naming convention: package-metadata.md
Invalid naming convention: incident-response-plan.md
Invalid naming convention: severity-classification-and-playbooks.md
Invalid naming convention: README.md
Invalid naming convention: postmortem-template.md
Invalid naming convention: REMEDIATION-SUMMARY.md
Invalid naming convention: COMPREHENSIVE-AUDIT-REPORT.md
Invalid naming convention: END-TO-END-AUDIT-2025-10-29.md
Invalid naming convention: threat-modeling-stride.md
Invalid naming convention: logging-and-forensics.md
Invalid naming convention: vulnerability-management.md
Invalid naming convention: secure-development-lifecycle-sdl.md
Invalid naming convention: README.md
Invalid naming convention: identity-and-access-management.md
Invalid naming convention: business-continuity-and-disaster-recovery-bcdr.md
Invalid naming convention: risk-register.md
Invalid naming convention: encryption-and-key-management.md
Invalid naming convention: information-security-policy-iso27001.md
Invalid naming convention: secrets-management.md
Invalid naming convention: risk-appetite-and-matrix.md
Invalid naming convention: glossary.md
Invalid naming convention: pii-classification-and-tokenization.md
Invalid naming convention: README.md
Invalid naming convention: data-models-and-erd.md
Invalid naming convention: eventing-and-streams.md
Invalid naming convention: data-lifecycle-and-backups.md
Invalid naming convention: reliability-and-resilience.md
Invalid naming convention: domain-driven-design-map.md
Invalid naming convention: cost-architecture-and-finops.md
Invalid naming convention: scalability-and-performance.md
Invalid naming convention: rest-openapi-specs.md
Invalid naming convention: graphql-schema-and-conventions.md
Invalid naming convention: versioning-and-deprecation-policy.md
Invalid naming convention: README.md
Invalid naming convention: 006-canary-deployment-strategy.md
Invalid naming convention: README.md
Invalid naming convention: system-overview.md
Invalid naming convention: observability-architecture.md
Invalid naming convention: context-diagrams-c4.md
Invalid naming convention: PRODUCTION-READINESS-CHECKLIST.md
Invalid naming convention: .keep
Invalid naming convention: TODO.md
Invalid naming convention: github-workflows-review.md
Invalid naming convention: README.md
Invalid naming convention: CONTAINER-FIXES.md
Invalid naming convention: adr-0001-initial-stack.md
Invalid naming convention: README.md
Invalid naming convention: adr-template.md
Invalid naming convention: risk-management-framework.md
Invalid naming convention: decision-rights-matrix.md
Invalid naming convention: rfc-template.md
Invalid naming convention: README.md
Invalid naming convention: README.md
Invalid naming convention: roles-and-responsibilities-raci.md
Invalid naming convention: change-management-policy.md
Invalid naming convention: compliance-governance-model.md
Invalid naming convention: governance-charter.md
Invalid naming convention: DPIA-CHECKLIST.md
Invalid naming convention: privacy-policy.md
Invalid naming convention: ROPA-TEMPLATE.md
Invalid naming convention: acceptable-use-and-community-standards.md
Invalid naming convention: README.md
Invalid naming convention: trademark-and-brand-usage.md
Invalid naming convention: third-party-licenses.md
Invalid naming convention: open-source-license-inventory-sbom.md
Invalid naming convention: cookie-policy.md
Invalid naming convention: eu-ai-act-readiness-matrix.md
Invalid naming convention: human-oversight-and-intervention.md
Invalid naming convention: transparency-and-disclosure-policy.md
Invalid naming convention: README.md
Invalid naming convention: ai-impact-assessment-aia.md
Invalid naming convention: model-and-system-cards-index.md
Invalid naming convention: README.md
Invalid naming convention: terms-of-service.md
Invalid naming convention: regulatory-mapping-and-gap-analysis.md
Invalid naming convention: cross-border-data-transfers.md
Invalid naming convention: subject-rights-request-procedure-dsar.md
Invalid naming convention: README.md
Invalid naming convention: lawful-basis-register.md
Invalid naming convention: data-protection-impact-assessment-dpia.md
Invalid naming convention: data-retention-and-deletion-policy.md
Invalid naming convention: records-of-processing-activities-ropa.md
Invalid naming convention: data-breach-notification-procedure.md
Invalid naming convention: accessibility-statement-wcag-22.md
Invalid naming convention: age-assurance-and-online-safety.md
Invalid naming convention: data-classification.md
Invalid naming convention: ADR-0001-supply-chain-and-slsa.md
Invalid naming convention: ADR-template.md
Invalid naming convention: code-of-conduct.md
Invalid naming convention: ethics-hotline-and-reporting.md
Invalid naming convention: training-and-continuous-learning.md
Invalid naming convention: README.md
Invalid naming convention: recruiting-and-onboarding.md
Invalid naming convention: supplier-and-vendor-management.md
Invalid naming convention: performance-and-feedback.md
Invalid naming convention: SOP.md
Invalid naming convention: DEVCONTAINER-STARTUP-ISSUES.md
Invalid naming convention: toc.md
Invalid naming convention: contributing.md
Invalid naming convention: metadata-header-template.md
Invalid naming convention: CONTRIBUTING.prompt.md
Invalid naming convention: partnerships-and-education-strategy.md
Invalid naming convention: internationalization-localization-strategy.md
Invalid naming convention: pricing-and-packaging-strategy.md
Invalid naming convention: risked-assumptions-and-bets.md
Invalid naming convention: platform-strategy-multiplayer-simulation.md
Invalid naming convention: README.md
Invalid naming convention: ai-strategy-and-differentiation.md
Invalid naming convention: objectives-and-key-results-okrs.md
Invalid naming convention: strategic-roadmap-03-12-36-months.md
Invalid naming convention: product-strategy.md
Invalid naming convention: ai-governance-external-communication.md
Invalid naming convention: ai-incident-response-plan.md
Invalid naming convention: ai-ethics-training-program.md
Invalid naming convention: evaluation-and-benchmarking.md
Invalid naming convention: model-card-template.md
Invalid naming convention: README.md
Invalid naming convention: system-card-template.md
Invalid naming convention: ai-risk-assessment-framework.md
Invalid naming convention: human-in-the-loop-oversight.md
Invalid naming convention: ai-governance-framework.md
Invalid naming convention: bias-fairness-and-harms-assessment.md
Invalid naming convention: multi-agent-orchestration.md
Invalid naming convention: red-teaming-and-adversarial-testing.md
Invalid naming convention: README.md
Invalid naming convention: alignment-and-safety-constraints.md
Invalid naming convention: telemetry-for-ai-systems.md
Invalid naming convention: data-sources-and-dataset-statements.md
Invalid naming convention: ai-data-provenance-framework.md
Invalid naming convention: ai-model-validation-procedures.md
Invalid naming convention: rollback-and-kill-switches.md
Invalid naming convention: pricing-tiers-and-billing-policy.md
Invalid naming convention: financial-model-and-unit-economics.md
Invalid naming convention: customer-success-and-sla-commitments.md
Invalid naming convention: README.md
Invalid naming convention: go-to-market-plan.md
Invalid naming convention: sales-playbook-and-enterprise-faq.md
Invalid naming convention: runtime-parameters-and-secrets.md
Invalid naming convention: terraform-conventions.md
Invalid naming convention: README.md
Invalid naming convention: kubernetes-baseline.md
Invalid naming convention: ci-cd-architecture.md
Invalid naming convention: code-review-guidelines.md
Invalid naming convention: README.md
Invalid naming convention: chaos-and-resilience-testing.md
Invalid naming convention: performance-and-load-testing.md
Invalid naming convention: README.md
Invalid naming convention: test-data-management.md
Invalid naming convention: security-testing-sast-dast-sca.md
Invalid naming convention: contract-and-api-testing.md
Invalid naming convention: testing-strategy.md
Invalid naming convention: unit-integration-e2e-guides.md
Invalid naming convention: ci-cd-best-practices.md
Invalid naming convention: branching-and-release-strategy.md
Invalid naming convention: architectural-alignment-audit.md
Invalid naming convention: ci-cd-diagram.md
Invalid naming convention: environments-and-config.md
Invalid naming convention: ci-pipeline-review.md
Invalid naming convention: artifact-management-and-release-notes.md
Invalid naming convention: pipeline-architecture.md
Invalid naming convention: README.md
Invalid naming convention: ci-secrets-hardening.md
Invalid naming convention: quality-gates-and-blockers.md
Invalid naming convention: coding-standards-typescript-react.md
Invalid naming convention: ci-cd-enhancement-summary.md
Invalid naming convention: monorepo-standards-nx.md
Invalid naming convention: dev-containers-and-tooling.md
Invalid naming convention: productivity-playbook.md
Invalid naming convention: repo-scripts-and-generators.md
Invalid naming convention: DEVCONTAINER-AUDIT-REPORT.md
Invalid naming convention: DEVCONTAINER-REMEDIATION.md
Invalid naming convention: github-usage-policy.md
Invalid naming convention: README.md
Invalid naming convention: local-dev-setup.md
Invalid naming convention: review-and-approval-workflow.md
Invalid naming convention: retention-and-archiving-policy.md
Invalid naming convention: document-classification-policy.md
Invalid naming convention: TODO-implementation.md
Invalid naming convention: TODO.md
Invalid naming convention: TODO-remediation.md
Invalid naming convention: README.md
Invalid naming convention: templates-index.md
Invalid naming convention: README.md
Invalid naming convention: README.md
Invalid naming convention: README.md
Invalid naming convention: README.md
Invalid naming convention: README.md
Invalid naming convention: versioning-policy.md
Invalid naming convention: change-log.md
Invalid naming convention: status-field-implementation.md
Invalid naming convention: mcp-servers-setup.md
Invalid naming convention: ai-npc-behaviours-and-tuning.md
Invalid naming convention: balancing-and-anti-exploit-design.md
Invalid naming convention: world-and-institutions-blueprint.md
Invalid naming convention: elections-policy-and-mechanics.md
Invalid naming convention: economy-and-budgets.md
Invalid naming convention: parties-caucuses-and-factions.md
Invalid naming convention: content-moderation-and-enforcement.md
Invalid naming convention: README.md
Invalid naming convention: game-design-document-gdd.md
Invalid naming convention: lawmaking-and-procedure-engine.md
Invalid naming convention: media-press-and-public-opinion-system.md
Invalid naming convention: accessibility-and-ux-harm-minimisation.md
Invalid naming convention: roles-and-progressions.md
Invalid naming convention: risk-register.yml
Invalid naming convention: onboarding.md
Invalid naming convention: SECURITY.md
Invalid naming convention: DISASTER-RECOVERY-RUNBOOK.md
Invalid naming convention: SECURITY-AUDIT-SUMMARY.md
Invalid naming convention: TODO.md
Invalid naming convention: playwright-accessibility-config.ts
Invalid naming convention: .editorconfig
Invalid naming convention: project.json
Invalid naming convention: README.md
Invalid naming convention: project.json
Invalid naming convention: deploy-argocd.yaml
Invalid naming convention: iac-plan.yaml
Invalid naming convention: security-scan.yaml
Invalid naming convention: build-and-test.yaml
Invalid naming convention: vault-client.yml
Invalid naming convention: migrate.yml
Invalid naming convention: application-release.yaml
Invalid naming convention: README.md
Invalid naming convention: action.yaml
Invalid naming convention: project.json
Invalid naming convention: Chart.yaml
Invalid naming convention: values-staging.yaml
Invalid naming convention: values-dev.yaml
Invalid naming convention: deployment.yaml
Invalid naming convention: ingress.yaml
Invalid naming convention: service.yaml
Invalid naming convention: hpa.yaml
Invalid naming convention: serviceaccount.yaml
Invalid naming convention: configmap.yaml
Invalid naming convention: _helpers.tpl
Invalid naming convention: values.yaml
Invalid naming convention: values-prod.yaml
Invalid naming convention: Chart.yaml
Invalid naming convention: values-staging.yaml
Invalid naming convention: values-dev.yaml
Invalid naming convention: deployment.yaml
Invalid naming convention: ingress.yaml
Invalid naming convention: service.yaml
Invalid naming convention: hpa.yaml
Invalid naming convention: serviceaccount.yaml
Invalid naming convention: configmap.yaml
Invalid naming convention: _helpers.tpl
Invalid naming convention: values.yaml
Invalid naming convention: values-prod.yaml
Invalid naming convention: Chart.yaml
Invalid naming convention: values-staging.yaml
Invalid naming convention: values-dev.yaml
Invalid naming convention: deployment.yaml
Invalid naming convention: ingress.yaml
Invalid naming convention: service.yaml
Invalid naming convention: hpa.yaml
Invalid naming convention: serviceaccount.yaml
Invalid naming convention: configmap.yaml
Invalid naming convention: _helpers.tpl
Invalid naming convention: values.yaml
Invalid naming convention: values-prod.yaml
Invalid naming convention: Chart.yaml
Invalid naming convention: clusterissuers.yaml
Invalid naming convention: namespaces.yaml
Invalid naming convention: values.yaml
Invalid naming convention: Chart.yaml
Invalid naming convention: values-staging.yaml
Invalid naming convention: values-dev.yaml
Invalid naming convention: deployment.yaml
Invalid naming convention: cronjobs.yaml
Invalid naming convention: service.yaml
Invalid naming convention: hpa.yaml
Invalid naming convention: serviceaccount.yaml
Invalid naming convention: configmap.yaml
Invalid naming convention: _helpers.tpl
Invalid naming convention: values.yaml
Invalid naming convention: values-prod.yaml
Invalid naming convention: Chart.yaml
Invalid naming convention: values-staging.yaml
Invalid naming convention: values-dev.yaml
Invalid naming convention: deployment.yaml
Invalid naming convention: service.yaml
Invalid naming convention: serviceaccount.yaml
Invalid naming convention: configmap.yaml
Invalid naming convention: _helpers.tpl
Invalid naming convention: values.yaml
Invalid naming convention: values-prod.yaml
Invalid naming convention: deny-latest-tag.rego
Invalid naming convention: deny-hostpath.rego
Invalid naming convention: deny-privileged.rego
Invalid naming convention: README.md
Invalid naming convention: ci.yaml
Invalid naming convention: staging.yaml
Invalid naming convention: dev.yaml
Invalid naming convention: prod.yaml
Invalid naming convention: auth-staging.yaml
Invalid naming convention: db-proxy-dev.yaml
Invalid naming convention: project-platform.yaml
Invalid naming convention: auth-dev.yaml
Invalid naming convention: jaeger-dev.yaml
Invalid naming convention: worker-dev.yaml
Invalid naming convention: api-prod.yaml
Invalid naming convention: worker-prod.yaml
Invalid naming convention: frontend-dev.yaml
Invalid naming convention: db-proxy-staging.yaml
Invalid naming convention: auth-prod.yaml
Invalid naming convention: frontend-staging.yaml
Invalid naming convention: api-dev.yaml
Invalid naming convention: worker-staging.yaml
Invalid naming convention: vault-dev.yaml
Invalid naming convention: api-staging.yaml
Invalid naming convention: monitoring-stack-dev.yaml
Invalid naming convention: platform-core.yaml
Invalid naming convention: db-proxy-prod.yaml
Invalid naming convention: frontend-prod.yaml
Invalid naming convention: project.json
Invalid naming convention: security.test.js
Invalid naming convention: README.md
Invalid naming convention: tsconfig.lib.tsbuildinfo
Invalid naming convention: jest.config.cjs
Invalid naming convention: package.json
Invalid naming convention: tsconfig.json
Invalid naming convention: tsconfig.lib.json
Invalid naming convention: tsconfig.spec.json
Invalid naming convention: security.js
Invalid naming convention: database.js
Invalid naming convention: logger.js
Invalid naming convention: agent.ts
Invalid naming convention: security.d.ts
Invalid naming convention: index.js
Invalid naming convention: logger.ts
Invalid naming convention: telemetry.ts
Invalid naming convention: security.ts
Invalid naming convention: logger.d.ts
Invalid naming convention: index.js.map
Invalid naming convention: log.ts
Invalid naming convention: index.ts
Invalid naming convention: party.ts
Invalid naming convention: order-paper-item.ts
Invalid naming convention: vote.ts
Invalid naming convention: mp.ts
Invalid naming convention: debate.ts
Invalid naming convention: session.ts
Invalid naming convention: bill-stage.ts
Invalid naming convention: index.ts
Invalid naming convention: sitting-day.ts
Invalid naming convention: user.ts
Invalid naming convention: election.ts
Invalid naming convention: bill.ts
Invalid naming convention: division.ts
Invalid naming convention: README.md
Invalid naming convention: CODE_OF_CONDUCT.md
Invalid naming convention: main.tf
Invalid naming convention: project.json
Invalid naming convention: providers.tf
Invalid naming convention: README.md
Invalid naming convention: CONTRIBUTING.md
Invalid naming convention: variables.tf
Invalid naming convention: outputs.tf
Invalid naming convention: main.tf
Invalid naming convention: variables.tf
Invalid naming convention: main.tf
Invalid naming convention: variables.tf
Invalid naming convention: outputs.tf
Invalid naming convention: main.tf
Invalid naming convention: variables.tf
Invalid naming convention: outputs.tf
Invalid naming convention: main.tf
Invalid naming convention: variables.tf
Invalid naming convention: outputs.tf
Invalid naming convention: main.tf
Invalid naming convention: variables.tf
Invalid naming convention: outputs.tf
Invalid naming convention: main.tf
Invalid naming convention: variables.tf
Invalid naming convention: outputs.tf
Invalid naming convention: main.tf
Invalid naming convention: variables.tf
Invalid naming convention: outputs.tf
Invalid naming convention: main.tf
Invalid naming convention: variables.tf
Invalid naming convention: outputs.tf
Invalid naming convention: main.tf
Invalid naming convention: variables.tf
Invalid naming convention: outputs.tf
Invalid naming convention: main.tf
Invalid naming convention: variables.tf
Invalid naming convention: main.tf
Invalid naming convention: variables.tf
Invalid naming convention: terraform.tfvars.example
Invalid naming convention: main.tf
Invalid naming convention: variables.tf
Invalid naming convention: terraform.tfvars.example
Invalid naming convention: README.md
Invalid naming convention: main.tf
Invalid naming convention: variables.tf
Invalid naming convention: terraform.tfvars.example
Invalid naming convention: README.md
Invalid naming convention: README.md
Invalid naming convention: ai-metrics.json
Invalid naming convention: security.txt
Invalid naming convention: .gitignore
Invalid naming convention: package-lock.json
Invalid naming convention: package.json
Invalid naming convention: knowledge-base.json
Invalid naming convention: test-layout.json
Invalid naming convention: logging.json
Invalid naming convention: react-form.json
Invalid naming convention: error-handling.json
Invalid naming convention: pagination.json
Invalid naming convention: ann_index.bin
Invalid naming convention: file_order.json
Invalid naming convention: codebase-index.json
Invalid naming convention: semantic-vectors.json
Invalid naming convention: patterns.json
Invalid naming convention: ai-controls.json
Invalid naming convention: PROMPT-012-example.md
Invalid naming convention: .vale.ini
Invalid naming convention: .nvmrc
Invalid naming convention: setup.sh
Invalid naming convention: init-database.js
Invalid naming convention: validate-env.js
Invalid naming convention: ensure-shared-entry.mjs
Invalid naming convention: check-remote-entry.sh
Invalid naming convention: seed.sh
Invalid naming convention: seed.sql
Invalid naming convention: validate-adr.sh
Invalid naming convention: optimize-nx.sh
Invalid naming convention: remove-docker-artifacts.sh
Invalid naming convention: nx-optimize.sh
Invalid naming convention: README-bootstrap-dev.md
Invalid naming convention: gitleaks-scan.sh
Invalid naming convention: assess-secrets.sh
Invalid naming convention: gitleaks-staged.sh
Invalid naming convention: check-budgets.mjs
Invalid naming convention: ci-metrics.mjs
Invalid naming convention: husky-lefthook-bugs.mjs
Invalid naming convention: check-import-boundaries.sh
Invalid naming convention: check-pr-headers.mjs
Invalid naming convention: husky-lefthook-security.mjs
Invalid naming convention: test-pipeline.mjs
Invalid naming convention: validate-pipelines.mjs
Invalid naming convention: test-smoke.sh
Invalid naming convention: husky-lefthook-review.mjs
Invalid naming convention: otel-monitor.sh
Invalid naming convention: husky-lefthook-test.mjs
Invalid naming convention: husky-lefthook-improve.mjs
Invalid naming convention: check-import-boundaries.js
Invalid naming convention: a11y-check.sh
Invalid naming convention: check-import-boundaries.mjs
Invalid naming convention: README-bootstrap-fullstack-dev.md
Invalid naming convention: find-leaky-types.ts
Invalid naming convention: track-context-switches.ts
Invalid naming convention: build-shared.js
Invalid naming convention: automated-reporting.sh
Invalid naming convention: add-status-to-docs.sh
Invalid naming convention: add-status-metadata.js
Invalid naming convention: controls-runner.ts
Invalid naming convention: find-unused.sh
Invalid naming convention: patch-management.sh
Invalid naming convention: backup.sh
Invalid naming convention: novelty-guard.js
Invalid naming convention: bootstrap.sh
Invalid naming convention: run-migrations.sh
Invalid naming convention: replay.ts
Invalid naming convention: performance-baseline.json
Invalid naming convention: code-indexer.spec.js
Invalid naming convention: performance-monitor.js
Invalid naming convention: index-server.js
Invalid naming convention: incremental-indexer.js
Invalid naming convention: context-preloader.spec.js
Invalid naming convention: competence-monitor.js
Invalid naming convention: model-validation-pipeline.js
Invalid naming convention: optimize-ai.sh
Invalid naming convention: smoke.sh
Invalid naming convention: competence-monitor.spec.js
Invalid naming convention: pre-cache.js
Invalid naming convention: README.md
Invalid naming convention: code-indexer.js
Invalid naming convention: fetch-index.sh
Invalid naming convention: embeddings.js
Invalid naming convention: context-preloader.js
Invalid naming convention: risk-assessment-integration.js
Invalid naming convention: kill-resource-hogs.sh
Invalid naming convention: universal-audit.sh
Invalid naming convention: test-heal.js
Invalid naming convention: README.md
Invalid naming convention: guard-blackbox.mjs
Invalid naming convention: self-heal.js
Invalid naming convention: fix-esm-imports.sh
Invalid naming convention: run-autocannon.sh
Invalid naming convention: evaluate-autocannon.js
Invalid naming convention: smoke.js
Invalid naming convention: check-autocannon.mjs
Invalid naming convention: check-results.js
Invalid naming convention: check-autocannon.js
Invalid naming convention: env-config.sh
Invalid naming convention: seed-domain-data.mjs
Invalid naming convention: cache-common-contexts.ts
Invalid naming convention: cleanup.sh
Invalid naming convention: labeler.yml
Invalid naming convention: renovate.json
Invalid naming convention: renovate.yml
Invalid naming convention: controls.yml
Invalid naming convention: smoke-check.yml
Invalid naming convention: lint-boundaries.yml
Invalid naming convention: performance.yml
Invalid naming convention: release.yml
Invalid naming convention: rule-parity-check.yml
Invalid naming convention: supply-chain.yml
Invalid naming convention: security.yml
Invalid naming convention: test-workflows.yml
Invalid naming convention: perf-api.yml
Invalid naming convention: codeql.yml
Invalid naming convention: smoke-remote.yml
Invalid naming convention: secret-rotation.yml
Invalid naming convention: deploy-canary.yml
Invalid naming convention: hooks-review.yml
Invalid naming convention: semgrep.yml
Invalid naming convention: codeql-deprecation-notice.yml
Invalid naming convention: integration.yml
Invalid naming convention: ci.yml.backup
Invalid naming convention: ai-maintenance.yml
Invalid naming convention: deploy.yml
Invalid naming convention: gitleaks.yml
Invalid naming convention: migrate.yml
Invalid naming convention: monitoring.yml
Invalid naming convention: adr-validate.yml
Invalid naming convention: security-scan.yml
Invalid naming convention: copilot-experiment-summary.yml
Invalid naming convention: perf-smoke.yml
Invalid naming convention: observability-verify.yml
Invalid naming convention: vulnerability-scan.yml
Invalid naming convention: otel-smoke.yml
Invalid naming convention: e2e.yml
Invalid naming convention: ci.yml
Invalid naming convention: nx-guard.yml
Invalid naming convention: workspace-integrity.yml
Invalid naming convention: stale.yml
Invalid naming convention: PULL_REQUEST_TEMPLATE.md
Invalid naming convention: env-config.yml
Invalid naming convention: copilot-instructions.md
Invalid naming convention: pr-size.yml
Invalid naming convention: dependabot-setup.md
Invalid naming convention: rule-update.md
Invalid naming convention: ai-change.md
Invalid naming convention: action.yml
Invalid naming convention: action.yml
Invalid naming convention: security_issue.md
Invalid naming convention: feature_request.md
Invalid naming convention: bug_report.md
Invalid naming convention: dependabot.yml
Invalid naming convention: codeql-config.yml
Invalid naming convention: .prettierrc
Invalid naming convention: .gitattributes
Invalid naming convention: .gitleaks.toml
Invalid naming convention: .commitlintrc.cjs
Invalid naming convention: stats.json
Invalid naming convention: .env.example
Invalid naming convention: pack-6c6784ef5b56383dab6274c2e3ee031576972cf4.pack
Invalid naming convention: pack-6c6784ef5b56383dab6274c2e3ee031576972cf4.rev
Invalid naming convention: pack-6c6784ef5b56383dab6274c2e3ee031576972cf4.idx
Invalid naming convention: commit-msg.sample
Invalid naming convention: pre-rebase.sample
Invalid naming convention: sendemail-validate.sample
Invalid naming convention: pre-commit.sample
Invalid naming convention: applypatch-msg.sample
Invalid naming convention: fsmonitor-watchman.sample
Invalid naming convention: pre-receive.sample
Invalid naming convention: prepare-commit-msg.sample
Invalid naming convention: post-update.sample
Invalid naming convention: pre-merge-commit.sample
Invalid naming convention: pre-applypatch.sample
Invalid naming convention: pre-push.sample
Invalid naming convention: update.sample
Invalid naming convention: push-to-checkout.sample
Invalid naming convention: biome.json
Invalid naming convention: .blackboxrules
Invalid naming convention: index.js
Invalid naming convention: package.json
Invalid naming convention: login-start.html
Invalid naming convention: login-end.html
Invalid naming convention: utilities-mcp-server.js
Invalid naming convention: background-process.js
Invalid naming convention: process-run-end.js
Invalid naming convention: verify.lock
Invalid naming convention: nxw.json
Invalid naming convention: daemon-error.log
Invalid naming convention: daemon.log
Invalid naming convention: political_sphere.db
Invalid naming convention: ai-controls.json
Invalid naming convention: smoke-db.mjs
Invalid naming convention: debug_supertest_request.mjs
Invalid naming convention: smoke-db2.mjs
Invalid naming convention: tsconfig.generated.json
Invalid naming convention: tsconfig.generated.json
Invalid naming convention: tsconfig.generated.json
Invalid naming convention: tsconfig.generated.json
Invalid naming convention: tsconfig.generated.json
Invalid naming convention: knowledge.json
Invalid naming convention: project.json
Invalid naming convention: webpack.config.js
Invalid naming convention: README.md
Invalid naming convention: index.html
Invalid naming convention: webpack.config.cjs
Invalid naming convention: index.js
Invalid naming convention: project.json
Invalid naming convention: README-accessibility.md
Invalid naming convention: accessibility.spec.ts
Invalid naming convention: README.md
Invalid naming convention: index.html
Invalid naming convention: budgets.json
Invalid naming convention: .eslintrc.json
Invalid naming convention: server.js
Invalid naming convention: config.js
Invalid naming convention: module-federation.md
Invalid naming convention: README.md
Invalid naming convention: 0001-enable-renovate.md
Invalid naming convention: 0000-template-record-decision.md
Invalid naming convention: architecture.md
Invalid naming convention: chunk-QAXAIFA7.js.map
Invalid naming convention: vitepress___@vue_devtools-api.js.map
Invalid naming convention: chunk-QAXAIFA7.js
Invalid naming convention: vitepress___@vueuse_core.js.map
Invalid naming convention: vitepress___@vueuse_core.js
Invalid naming convention: package.json
Invalid naming convention: vue.js
Invalid naming convention: vue.js.map
Invalid naming convention: vitepress___@vue_devtools-api.js
Invalid naming convention: config.mjs
Invalid naming convention: dev-autopilot.md
Invalid naming convention: project.json
Invalid naming convention: delivery-report.md
Invalid naming convention: ai-ethics-policy.md
Invalid naming convention: dr-plan.md
Invalid naming convention: incident.md
Invalid naming convention: eu-ai-act.md
Invalid naming convention: secrets-inventory.md
Invalid naming convention: AUDIT-REPORT.md
Invalid naming convention: ai-enhancement-framework.md
Invalid naming convention: ai-on-dev.md
Invalid naming convention: risk-register.md
Invalid naming convention: smoke-test-checklist.md
Invalid naming convention: postmortem.md
Invalid naming convention: contract-testing.md
Invalid naming convention: onboarding.md
Invalid naming convention: security.md
Invalid naming convention: eu-ai-act-compliance.md
Invalid naming convention: README.md
Invalid naming convention: tsconfig.app.json
Invalid naming convention: project.json
